latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.6619,114.4572,314.1,1.3,1.1,2013-01-30,0607,Aqua,MODIS,43,6.2,293.1,8.3,D,0
4.5574,114.1698,312.2,1,1,2013-02-01,0256,Terra,MODIS,40,6.2,295,5.7,D,0
4.7594,114.6423,305.4,1.7,1.3,2013-02-03,1507,Terra,MODIS,64,6.2,288.8,11.9,N,0
4.7614,114.6412,353.1,1,1,2013-02-03,1801,Aqua,MODIS,100,6.2,292.5,68.9,N,0
4.7601,114.6501,310.2,1,1,2013-02-03,1801,Aqua,MODIS,79,6.2,290.3,8.8,N,0
4.747,114.6186,312.7,2.9,1.6,2013-02-04,0625,Aqua,MODIS,52,6.2,288.3,31.5,D,0
4.7506,114.6449,318,3,1.6,2013-02-04,0625,Aqua,MODIS,69,6.2,289.3,53.6,D,0
4.7521,114.6368,323.2,3,1.6,2013-02-04,0625,Aqua,MODIS,76,6.2,289.4,73.7,D,0
4.7607,114.6386,311.5,2,1.4,2013-02-05,0530,Aqua,MODIS,67,6.2,287.9,17.9,D,0
4.4033,114.302,313.1,2.7,1.6,2013-02-14,0225,Terra,MODIS,0,6.2,293,23.4,D,0
4.4939,114.2558,313.5,2.2,1.4,2013-03-01,0320,Terra,MODIS,27,6.2,295.1,19.6,D,0
4.2859,114.2965,316.1,2.1,1.4,2013-03-01,0619,Aqua,MODIS,34,6.2,293.4,22,D,0
4.2875,114.298,312.2,1.7,1.3,2013-03-10,0314,Terra,MODIS,52,6.2,295.8,15.6,D,0
4.2878,114.3076,312.3,1.7,1.3,2013-03-10,0314,Terra,MODIS,31,6.2,295.4,15.4,D,0
4.2949,114.3087,319.1,1.6,1.2,2013-03-10,0613,Aqua,MODIS,23,6.2,298.2,16.2,D,0
4.4078,114.2877,311.7,1.7,1.3,2013-03-16,0537,Aqua,MODIS,31,6.2,296,10.1,D,0
4.2919,114.3106,311.3,2.3,1.5,2013-03-17,0320,Terra,MODIS,27,6.2,293.2,19,D,0
4.2952,114.31,312.2,2.1,1.4,2013-03-17,0620,Aqua,MODIS,14,6.2,293.4,17.1,D,0
4.2926,114.3032,313,2.2,1.4,2013-03-25,0531,Aqua,MODIS,0,6.2,294.8,19,D,0
4.2871,114.3054,320.8,1.6,1.3,2013-04-17,0537,Aqua,MODIS,59,6.2,297.3,26.1,D,0
4.6383,114.4215,306.1,1,1,2013-04-22,0256,Terra,MODIS,41,6.2,281.2,5.1,D,0
4.2908,114.3109,312.6,1.3,1.1,2013-04-24,0543,Aqua,MODIS,50,6.2,293.3,8.3,D,0
4.2891,114.2994,313.9,1.3,1.1,2013-04-24,0543,Aqua,MODIS,46,6.2,293.1,9.8,D,0
4.6517,114.4424,309.3,3.7,1.8,2013-04-28,0519,Aqua,MODIS,39,6.2,288.1,32.9,D,0
4.6678,114.4634,303.8,2.8,1.6,2013-05-02,1419,Terra,MODIS,57,6.2,277.2,26.1,N,0
4.3097,114.3151,313.5,1.6,1.3,2013-05-03,0537,Aqua,MODIS,57,6.2,295.9,14,D,0
4.5611,114.1523,316.9,1.7,1.3,2013-05-03,0537,Aqua,MODIS,61,6.2,299.6,17.8,D,0
4.284,114.2992,308,2.2,1.5,2013-05-04,0320,Terra,MODIS,41,6.2,283.9,15.5,D,0
4.4121,114.3026,308.4,2.2,1.4,2013-05-20,0320,Terra,MODIS,45,6.2,291.2,14.6,D,0
4.2933,114.2985,312.3,2.1,1.4,2013-05-20,0620,Aqua,MODIS,25,6.2,294.5,16.6,D,0
4.6112,114.3372,309,2.9,1.6,2013-05-27,0326,Terra,MODIS,47,6.2,291.5,25.8,D,0
4.3101,114.3091,321,1,1,2013-06-09,0555,Aqua,MODIS,34,6.2,301.9,10.3,D,0
4.2849,114.2995,316.9,1.6,1.2,2013-06-14,0613,Aqua,MODIS,19,6.2,295.9,14.9,D,0
4.47,114.2646,302.5,1.1,1,2013-06-18,0549,Aqua,MODIS,0,6.2,272.9,4.5,D,0
4.3737,114.8119,307.4,1,1,2013-06-22,1449,Terra,MODIS,71,6.2,290.1,6.5,N,0
4.2848,114.299,314.8,1.7,1.3,2013-07-22,0536,Aqua,MODIS,39,6.2,295.8,15.4,D,0
4.2836,114.3035,318.1,2.1,1.4,2013-07-23,0619,Aqua,MODIS,60,6.2,298.9,25.5,D,0
4.5785,114.2059,312.4,3,1.6,2013-07-24,0524,Aqua,MODIS,32,6.2,295.1,28.3,D,0
4.3465,114.3174,308.4,2,1.4,2013-07-31,0231,Terra,MODIS,34,6.2,284.7,15.5,D,0
4.2952,114.3036,309.9,2,1.4,2013-07-31,0231,Terra,MODIS,20,6.2,286.6,15.6,D,0
4.3421,114.3169,315.8,1.6,1.2,2013-08-01,0613,Aqua,MODIS,42,6.2,293.9,13.9,D,0
4.3451,114.3256,315.9,1.5,1.2,2013-08-07,0237,Terra,MODIS,32,6.2,297.2,13.9,D,0
4.2858,114.3075,314.2,2,1.4,2013-08-16,0231,Terra,MODIS,55,6.2,294.9,18.7,D,0
4.5059,114.2449,312.3,2.7,1.6,2013-09-10,0225,Terra,MODIS,0,6.2,289.7,24.4,D,0
4.6724,114.4729,308,1,1,2013-09-13,0256,Terra,MODIS,51,6.2,280.6,3.8,D,0
4.6662,114.4601,307.4,1.1,1,2013-09-17,1455,Terra,MODIS,71,6.2,291.2,7.2,N,0
