latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.0822,114.0941,313.4,1.3,1.1,2013-01-02,0243,Terra,MODIS,38,6.2,292.9,8.8,D,0
4.8171,101.0862,311.8,1.9,1.3,2013-01-04,0409,Terra,MODIS,63,6.2,293.5,14.9,D,0
5.2083,100.4948,316.7,1.1,1,2013-01-06,0357,Terra,MODIS,72,6.2,299.7,7.9,D,0
5.6099,101.0538,311.2,1.1,1.1,2013-01-06,0357,Terra,MODIS,67,6.2,292,7.1,D,0
2.896,101.863,315.6,1.4,1.2,2013-01-06,0358,Terra,MODIS,41,6.2,298.5,10.1,D,0
3.0929,101.5841,320.1,1.3,1.1,2013-01-06,0358,Terra,MODIS,58,6.2,298.3,9.4,D,0
2.7275,101.5523,315.8,1.1,1.1,2013-01-06,0656,Aqua,MODIS,27,6.2,297.7,6.5,D,0
2.3727,103.581,306.7,1.5,1.2,2013-01-06,0656,Aqua,MODIS,43,6.2,278.6,9.1,D,0
2.3647,103.5754,306.4,1.5,1.2,2013-01-06,0656,Aqua,MODIS,45,6.2,277.2,8.7,D,0
2.7158,112.0649,312.4,1,1,2013-01-07,0601,Aqua,MODIS,59,6.2,274.9,7.8,D,0
2.4293,111.9255,326.8,1,1,2013-01-07,0601,Aqua,MODIS,83,6.2,282.7,22.7,D,0
2.4279,111.9162,309.3,1,1,2013-01-07,0601,Aqua,MODIS,61,6.2,280.8,5.5,D,0
2.6119,114.2977,319.1,1.1,1.1,2013-01-09,0548,Aqua,MODIS,77,6.2,293.5,15,D,0
4.1639,114.0162,312.4,1.1,1,2013-01-09,0549,Aqua,MODIS,65,6.2,291.6,7.3,D,0
4.1023,114.2203,314.5,1.1,1,2013-01-09,0549,Aqua,MODIS,44,6.2,293.4,7.4,D,0
5.6461,100.5315,317.3,1.3,1.1,2013-01-13,0403,Terra,MODIS,36,6.2,299.6,7.6,D,0
6.4307,100.3745,312.9,1,1,2013-01-15,0351,Terra,MODIS,62,6.2,299.1,4.8,D,0
1.8113,103.7975,303.6,1.4,1.2,2013-01-16,1519,Terra,MODIS,56,6.2,291.6,6.3,N,0
2.3732,103.5794,302.1,1.4,1.2,2013-01-16,1519,Terra,MODIS,46,6.2,290,5.5,N,0
4.5798,103.4352,301.6,1.3,1.1,2013-01-16,1520,Terra,MODIS,40,6.2,290.1,4.8,N,0
5.1544,101.8353,313.4,1.1,1,2013-01-17,0339,Terra,MODIS,64,6.2,297.5,7.6,D,0
3.3467,102.5445,310.7,1,1,2013-01-17,0339,Terra,MODIS,54,6.2,293.1,5.1,D,0
1.8067,103.7964,314.4,1,1,2013-01-17,0340,Terra,MODIS,65,6.2,294.9,8.1,D,0
1.5883,103.4008,324.3,1,1,2013-01-17,0637,Aqua,MODIS,75,6.2,297.3,15.4,D,0
1.5973,103.3995,341.6,1,1,2013-01-17,0637,Aqua,MODIS,91,6.2,297.9,39.4,D,0
1.8559,103.0868,311.8,1,1,2013-01-17,0637,Aqua,MODIS,18,6.2,292.9,4.2,D,0
1.8517,102.9936,317.3,1,1,2013-01-17,0637,Aqua,MODIS,15,6.2,297.6,7.8,D,0
2.0703,103.3592,315.4,1,1,2013-01-17,0637,Aqua,MODIS,61,6.2,297.8,7.1,D,0
1.8108,103.7964,321.8,1,1,2013-01-17,0637,Aqua,MODIS,74,6.2,295.2,13.9,D,0
1.853,103.0028,317.2,1,1,2013-01-17,0637,Aqua,MODIS,14,6.2,298.5,7.5,D,0
5.246,101.0874,314.2,1.2,1.1,2013-01-17,0638,Aqua,MODIS,58,6.2,296.3,9.3,D,0
5.2445,101.077,312.8,1.2,1.1,2013-01-17,0638,Aqua,MODIS,64,6.2,296.9,7.7,D,0
4.0725,100.9096,319.2,1.2,1.1,2013-01-17,0638,Aqua,MODIS,58,6.2,298.8,10.7,D,0
4.0794,100.8197,318,1.2,1.1,2013-01-17,0638,Aqua,MODIS,49,6.2,296.5,11.1,D,0
5.1474,101.8364,318.6,1.1,1,2013-01-17,0638,Aqua,MODIS,73,6.2,299.8,11.9,D,0
4.7386,101.8821,310.2,1.1,1,2013-01-17,0638,Aqua,MODIS,54,6.2,295.8,4.9,D,0
4.7095,101.8768,316,1.1,1,2013-01-17,0638,Aqua,MODIS,70,6.2,295.6,10.6,D,0
4.7109,101.8868,315.4,1.1,1,2013-01-17,0638,Aqua,MODIS,67,6.2,294.9,9.5,D,0
4.056,101.296,312.9,1.2,1.1,2013-01-17,0638,Aqua,MODIS,57,6.2,295.8,5.8,D,0
5.1461,101.8269,321.9,1.1,1,2013-01-17,0638,Aqua,MODIS,77,6.2,298.2,15.6,D,0
5.6809,100.6481,313.5,1.2,1.1,2013-01-17,0639,Aqua,MODIS,64,6.2,297.2,6.7,D,0
2.6953,101.5791,312,3.2,1.7,2013-01-18,0720,Aqua,MODIS,52,6.2,290.6,32.1,D,0
4.0694,100.828,324.8,1.7,1.3,2013-01-20,0709,Aqua,MODIS,74,6.2,295.7,29.6,D,0
3.2917,113.0901,313.8,1.4,1.2,2013-01-21,0314,Terra,MODIS,44,6.2,292.5,13.5,D,0
5.5821,100.4541,324.3,1.1,1,2013-01-22,0657,Aqua,MODIS,76,6.2,298.9,13.1,D,0
3.2889,113.0854,304.8,1.3,1.1,2013-01-22,1443,Terra,MODIS,30,6.2,291.7,7.6,N,0
4.1154,114.0716,303.9,1.1,1.1,2013-01-22,1443,Terra,MODIS,58,6.2,291.2,5,N,0
6.1056,116.2032,314.4,1.3,1.1,2013-01-23,0301,Terra,MODIS,58,6.2,299.4,9.3,D,0
2.7882,112.2449,308.9,1,1,2013-01-23,0600,Aqua,MODIS,51,6.2,285.8,5,D,0
2.7644,113.1052,338.8,1,1,2013-01-23,0600,Aqua,MODIS,79,6.2,291.3,37.6,D,0
2.911,112.5816,310.3,1,1,2013-01-23,0600,Aqua,MODIS,49,6.2,284.7,5,D,0
3.6714,113.459,344.8,1,1,2013-01-23,0601,Aqua,MODIS,80,6.2,287.9,47.3,D,0
3.6701,113.4501,327.8,1,1,2013-01-23,0601,Aqua,MODIS,76,6.2,289,21.1,D,0
4.383,114.0607,324,1,1,2013-01-23,0601,Aqua,MODIS,79,6.2,299.5,14.3,D,0
2.1035,102.6086,312.3,1.1,1,2013-01-24,0346,Terra,MODIS,51,6.2,289.1,5.9,D,0
6.0834,100.7461,312.4,1,1,2013-01-24,0645,Aqua,MODIS,54,6.2,294.8,5.8,D,0
6.3975,100.4924,315.5,1,1,2013-01-24,0645,Aqua,MODIS,50,6.2,295.8,8.9,D,0
3.2807,113.0802,314.4,1.3,1.1,2013-01-25,0548,Aqua,MODIS,37,6.2,292.9,10,D,0
3.9839,113.84,321.1,1.1,1.1,2013-01-25,0548,Aqua,MODIS,72,6.2,298.7,17.1,D,0
3.4927,113.6894,310.5,1.2,1.1,2013-01-25,0548,Aqua,MODIS,60,6.2,290.3,6.7,D,0
2.9183,112.5704,318.8,3,1.7,2013-01-26,0333,Terra,MODIS,66,6.2,288.9,67.7,D,0
2.9144,112.5919,314,3,1.7,2013-01-26,0333,Terra,MODIS,13,6.2,287.5,40,D,0
1.7711,103.2258,314.5,1.2,1.1,2013-01-26,0631,Aqua,MODIS,49,6.2,294.7,6.5,D,0
2.7424,111.8903,313.8,2.2,1.4,2013-01-26,0631,Aqua,MODIS,48,6.2,292.4,20.8,D,0
2.9049,112.5707,315.6,2.5,1.5,2013-01-26,0631,Aqua,MODIS,41,6.2,293,25.8,D,0
3.0426,112.9649,319,2.7,1.6,2013-01-26,0631,Aqua,MODIS,70,6.2,294.7,40.7,D,0
3.0394,112.9408,317.3,2.7,1.6,2013-01-26,0631,Aqua,MODIS,62,6.2,293.9,34,D,0
1.7726,103.2363,336.8,1.2,1.1,2013-01-26,0631,Aqua,MODIS,88,6.2,296.4,39.1,D,0
2.9981,112.691,313.6,2.6,1.5,2013-01-26,0631,Aqua,MODIS,24,6.2,293,20.1,D,0
3.1069,113.4439,309.6,2,1.4,2013-01-27,0536,Aqua,MODIS,33,6.2,289.5,13.2,D,0
2.1456,111.8028,310.7,2.9,1.6,2013-01-27,0536,Aqua,MODIS,0,6.2,286.9,23.3,D,0
6.8588,117.2225,314.5,1.1,1,2013-01-27,0537,Aqua,MODIS,58,6.2,297,8.1,D,0
2.7259,112.0615,302.1,1,1,2013-01-27,1501,Terra,MODIS,46,6.2,290.8,3.7,N,0
4.0912,114.1847,315.5,1.2,1.1,2013-01-27,1501,Terra,MODIS,71,6.2,284.7,17.6,N,0
4.0927,114.1955,333.8,1.2,1.1,2013-01-27,1501,Terra,MODIS,100,6.2,283,45.3,N,0
2.7272,112.0704,301.6,1,1,2013-01-27,1501,Terra,MODIS,42,6.2,291,3.3,N,0
4.0942,114.2063,302.7,1.2,1.1,2013-01-27,1501,Terra,MODIS,11,6.2,277.8,7,N,0
4.0829,114.1969,306.5,1.2,1.1,2013-01-27,1501,Terra,MODIS,34,6.2,281.8,10.1,N,0
2.6862,112.1037,325.6,1,1,2013-01-27,1501,Terra,MODIS,100,6.2,290.7,22.6,N,0
2.6875,112.1126,318.9,1,1,2013-01-27,1501,Terra,MODIS,98,6.2,290.8,15.8,N,0
3.9868,114.2449,306.9,1,1,2013-01-27,1755,Aqua,MODIS,70,6.2,287.2,7.9,N,0
2.6897,112.109,307.2,1.3,1.1,2013-01-27,1756,Aqua,MODIS,70,6.2,286.9,10.9,N,0
2.1508,111.808,301.3,1.3,1.1,2013-01-27,1756,Aqua,MODIS,37,6.2,279.9,7.6,N,0
3.8266,115.0101,302.2,2.6,1.5,2013-01-28,0320,Terra,MODIS,28,6.2,286.7,9,D,0
3.1929,113.4983,310.1,2,1.4,2013-01-28,0321,Terra,MODIS,50,6.2,286,20.3,D,0
2.6797,112.1183,309,1.6,1.2,2013-01-28,0321,Terra,MODIS,43,6.2,293.5,12.7,D,0
2.7087,111.5321,319.8,1.5,1.2,2013-01-28,0321,Terra,MODIS,24,6.2,297.2,17.2,D,0
2.7271,112.0709,337.1,1.3,1.1,2013-01-28,0619,Aqua,MODIS,88,6.2,296.7,42.3,D,0
2.7254,112.059,328.1,1.3,1.1,2013-01-28,0619,Aqua,MODIS,66,6.2,296.1,23.7,D,0
2.7118,112.0367,319.9,1.3,1.1,2013-01-28,0619,Aqua,MODIS,62,6.2,297.5,14.3,D,0
2.9011,112.5706,319,1.5,1.2,2013-01-28,0619,Aqua,MODIS,52,6.2,295.4,14.2,D,0
2.703,111.5309,358.4,1.2,1.1,2013-01-28,0619,Aqua,MODIS,99,6.2,297.3,96.4,D,0
2.7113,111.5185,323.3,1.2,1.1,2013-01-28,0619,Aqua,MODIS,49,6.2,295.3,15.7,D,0
3.2818,113.0799,317.6,1.6,1.2,2013-01-28,0619,Aqua,MODIS,19,6.2,296.2,15.1,D,0
2.6641,112.4215,327.4,1.4,1.2,2013-01-28,0619,Aqua,MODIS,79,6.2,294,28.2,D,0
2.7014,111.5199,328.9,1.2,1.1,2013-01-28,0619,Aqua,MODIS,36,6.2,295,22.4,D,0
3.3034,113.143,328.7,1.6,1.3,2013-01-28,0619,Aqua,MODIS,83,6.2,294.9,42.3,D,0
6.2423,100.7375,313,2.5,1.5,2013-01-28,0620,Aqua,MODIS,48,6.2,297,22.2,D,0
6.2352,100.7453,311.9,2.5,1.5,2013-01-28,0620,Aqua,MODIS,51,6.2,296.7,20.3,D,0
5.1461,101.8284,312,2.2,1.4,2013-01-28,0620,Aqua,MODIS,65,6.2,294.4,20,D,0
3.3501,102.3067,303.6,1.1,1,2013-01-28,1544,Terra,MODIS,56,6.2,292.1,4.9,N,0
3.3488,102.2972,302.5,1.1,1,2013-01-28,1544,Terra,MODIS,50,6.2,292.2,4.3,N,0
5.2862,101.0351,320.9,1.4,1.2,2013-01-29,0403,Terra,MODIS,77,6.2,299.7,21.6,D,0
4.9734,101.9276,308.4,1.6,1.3,2013-01-29,0403,Terra,MODIS,57,6.2,294.9,10.6,D,0
6.4308,100.3904,312.6,1.2,1.1,2013-01-29,0403,Terra,MODIS,53,6.2,295.5,6.1,D,0
5.2811,101.027,325.7,1.4,1.2,2013-01-29,0403,Terra,MODIS,75,6.2,297.3,29.8,D,0
4.2484,100.6681,314.3,1.4,1.2,2013-01-29,0404,Terra,MODIS,0,6.2,296.8,10.7,D,0
2.9088,101.2958,316.1,1.6,1.2,2013-01-29,0404,Terra,MODIS,0,6.2,297.3,16.8,D,0
