latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-8.281,130.871,315,1,1,2019-08-02,01:35,T,55,6.0NRT,300.2,5.1,D
-9.427,124.104,313.4,2.5,1.5,2019-08-02,01:35,T,42,6.0NRT,301.4,18.3,D
-8.175,124.889,319.3,2.3,1.5,2019-08-02,01:35,T,62,6.0NRT,299.9,44,D
-8.179,124.895,316,2.3,1.5,2019-08-02,01:35,T,55,6.0NRT,298.9,34.4,D
-11.731,130.661,322,1,1,2019-08-02,01:40,T,72,6.0NRT,304.8,10.7,D
-11.696,130.424,330.9,1,1,2019-08-02,01:40,T,59,6.0NRT,305.5,19.1,D
-11.687,130.425,343.9,1,1,2019-08-02,01:40,T,92,6.0NRT,305.4,40.1,D
-11.668,130.419,326.4,1,1,2019-08-02,01:40,T,47,6.0NRT,303.8,14.3,D
-11.666,130.41,348.3,1,1,2019-08-02,01:40,T,94,6.0NRT,308.4,48.4,D
-11.659,130.364,324.4,1,1,2019-08-02,01:40,T,68,6.0NRT,306.7,11.5,D
-11.644,130.263,319.3,1,1,2019-08-02,01:40,T,55,6.0NRT,305.2,9.5,D
-11.656,130.402,359.3,1,1,2019-08-02,01:40,T,99,6.0NRT,308.5,73.6,D
-11.655,130.393,358.9,1,1,2019-08-02,01:40,T,99,6.0NRT,308.4,72.6,D
-11.745,131.068,319.4,1,1,2019-08-02,01:40,T,60,6.0NRT,303.3,9,D
-11.646,130.394,351.4,1,1,2019-08-02,01:40,T,96,6.0NRT,306.5,54.4,D
-11.644,130.385,338.1,1,1,2019-08-02,01:40,T,88,6.0NRT,304.2,28.5,D
-11.504,130.25,341.6,1,1,2019-08-02,01:40,T,68,6.0NRT,305.5,38.4,D
-11.503,130.241,362.3,1,1,2019-08-02,01:40,T,100,6.0NRT,303.4,91.4,D
-11.443,130.518,321.6,1,1,2019-08-02,01:40,T,43,6.0NRT,308.1,7.7,D
-11.441,130.509,324.6,1,1,2019-08-02,01:40,T,43,6.0NRT,307,9.7,D
-11.421,130.865,327.1,1,1,2019-08-02,01:40,T,74,6.0NRT,304.9,18.1,D
-11.411,130.864,322.4,1,1,2019-08-02,01:40,T,68,6.0NRT,303.5,11.9,D
-11.41,130.855,319,1,1,2019-08-02,01:40,T,38,6.0NRT,305.6,8.4,D
-11.403,130.809,321.2,1,1,2019-08-02,01:40,T,42,6.0NRT,303.2,10.3,D
-11.399,130.847,325.1,1,1,2019-08-02,01:40,T,41,6.0NRT,303.6,13.9,D
-11.397,130.829,322.1,1,1,2019-08-02,01:40,T,41,6.0NRT,305.4,11.2,D
-11.395,130.82,324.4,1,1,2019-08-02,01:40,T,59,6.0NRT,304.8,13.5,D
-11.394,130.811,353.7,1,1,2019-08-02,01:40,T,97,6.0NRT,306.4,61.7,D
-11.393,130.801,371.5,1,1,2019-08-02,01:40,T,100,6.0NRT,306.3,113,D
-11.584,132.644,321.5,1.1,1,2019-08-02,01:40,T,54,6.0NRT,303.5,11.4,D
-11.583,132.635,320.1,1.1,1,2019-08-02,01:40,T,49,6.0NRT,304.6,10.5,D
-11.546,132.757,327,1.1,1,2019-08-02,01:40,T,78,6.0NRT,303.5,19,D
-11.527,132.618,327.9,1.1,1,2019-08-02,01:40,T,70,6.0NRT,304,19.6,D
-11.537,132.759,317.9,1.1,1,2019-08-02,01:40,T,60,6.0NRT,302.7,8.9,D
-11.517,132.619,357.7,1.1,1,2019-08-02,01:40,T,98,6.0NRT,306,80.7,D
-11.516,132.61,326.4,1.1,1,2019-08-02,01:40,T,75,6.0NRT,303.1,18.7,D
-11.256,131.878,324,1,1,2019-08-02,01:40,T,77,6.0NRT,303.5,14.8,D
-11.221,131.893,323.3,1,1,2019-08-02,01:40,T,0,6.0NRT,304.3,13.7,D
-11.257,131.888,324.6,1,1,2019-08-02,01:40,T,78,6.0NRT,304,15.3,D
-11.725,130.432,324.5,1,1,2019-08-02,01:40,T,65,6.0NRT,302.4,14.7,D
-11.723,130.423,322.2,1,1,2019-08-02,01:40,T,59,6.0NRT,304.8,12.1,D
-11.732,130.67,345.9,1,1,2019-08-02,01:40,T,93,6.0NRT,303.5,44.7,D
28.078,115.784,311.5,1,1,2019-08-02,03:05,T,28,6.0NRT,281.7,6,D
30.613,122.086,315.4,1.9,1.3,2019-08-02,03:05,T,15,6.0NRT,299.4,20.9,D
30.808,120.712,319.6,1.5,1.2,2019-08-02,03:05,T,38,6.0NRT,301.3,12.6,D
30.904,119.994,321.2,1.4,1.2,2019-08-02,03:05,T,43,6.0NRT,303.2,11.9,D
30.968,118.818,323.8,1.2,1.1,2019-08-02,03:05,T,43,6.0NRT,303.8,11.8,D
30.793,119.799,320.7,1.4,1.2,2019-08-02,03:05,T,53,6.0NRT,303.7,12.5,D
30.804,119.637,322.6,1.3,1.1,2019-08-02,03:05,T,55,6.0NRT,306.1,14.7,D
30.963,118.657,325.4,1.2,1.1,2019-08-02,03:05,T,44,6.0NRT,303.2,13.2,D
30.954,118.655,327.7,1.2,1.1,2019-08-02,03:05,T,50,6.0NRT,304.2,16.4,D
30.916,118.876,319.8,1.2,1.1,2019-08-02,03:05,T,27,6.0NRT,302.2,9.1,D
30.781,119.646,320.2,1.3,1.1,2019-08-02,03:05,T,35,6.0NRT,304.4,11.3,D
30.944,118.653,324.3,1.2,1.1,2019-08-02,03:05,T,25,6.0NRT,304.1,12.5,D
30.686,120.109,318.7,1.4,1.2,2019-08-02,03:05,T,60,6.0NRT,302.1,12.5,D
30.671,120.015,320.5,1.4,1.2,2019-08-02,03:05,T,35,6.0NRT,302.7,13.1,D
30.538,120.725,321.8,1.6,1.2,2019-08-02,03:05,T,57,6.0NRT,302.5,15.1,D
30.918,118.571,319.9,1.2,1.1,2019-08-02,03:05,T,27,6.0NRT,302.4,7.9,D
30.595,120.344,323.1,1.5,1.2,2019-08-02,03:05,T,68,6.0NRT,303.8,17.2,D
30.709,118.881,321.7,1.2,1.1,2019-08-02,03:05,T,45,6.0NRT,303.9,11.1,D
30.682,118.98,318.5,1.2,1.1,2019-08-02,03:05,T,56,6.0NRT,303,9.2,D
30.68,118.992,321.9,1.2,1.1,2019-08-02,03:05,T,36,6.0NRT,303.6,12.2,D
30.69,118.451,328.2,1.2,1.1,2019-08-02,03:05,T,59,6.0NRT,304.8,19,D
30.764,117.84,320,1.1,1,2019-08-02,03:05,T,43,6.0NRT,302.1,8.3,D
30.709,118.023,316.1,1.1,1.1,2019-08-02,03:05,T,54,6.0NRT,299.8,7.2,D
30.679,117.91,321.6,1.1,1.1,2019-08-02,03:05,T,46,6.0NRT,302.3,10,D
30.837,116.878,325.9,1,1,2019-08-02,03:05,T,56,6.0NRT,302.7,13.6,D
30.835,116.888,324,1,1,2019-08-02,03:05,T,45,6.0NRT,302.5,11.6,D
30.603,118.223,318.8,1.1,1.1,2019-08-02,03:05,T,54,6.0NRT,302.4,8.4,D
30.751,117.253,319.9,1.1,1,2019-08-02,03:05,T,42,6.0NRT,301,8.5,D
30.314,119.779,321.7,1.4,1.2,2019-08-02,03:05,T,64,6.0NRT,301.4,15.5,D
30.311,119.793,318.9,1.4,1.2,2019-08-02,03:05,T,43,6.0NRT,300.5,11.2,D
30.319,118.568,318.2,1.2,1.1,2019-08-02,03:05,T,56,6.0NRT,302.7,9.9,D
30.565,117.023,329.2,1,1,2019-08-02,03:05,T,58,6.0NRT,304.4,13,D
30.759,115.632,318,1,1,2019-08-02,03:05,T,41,6.0NRT,299.2,5.9,D
30.568,115.985,345.9,1,1,2019-08-02,03:05,T,93,6.0NRT,298.7,46.4,D
30.566,115.995,328.8,1,1,2019-08-02,03:05,T,80,6.0NRT,297.8,19.3,D
29.862,119.774,320.8,1.4,1.2,2019-08-02,03:05,T,40,6.0NRT,303.4,12.3,D
30.061,118.568,331,1.2,1.1,2019-08-02,03:05,T,67,6.0NRT,306.4,22.5,D
30.423,116.269,320.5,1,1,2019-08-02,03:05,T,23,6.0NRT,301.8,7.8,D
30.054,118.553,327.4,1.2,1.1,2019-08-02,03:05,T,46,6.0NRT,305.4,17.8,D
29.833,119.752,321.5,1.4,1.2,2019-08-02,03:05,T,22,6.0NRT,302.1,11.3,D
29.897,118.443,335.1,1.2,1.1,2019-08-02,03:05,T,84,6.0NRT,306.4,28.8,D
29.895,118.455,331.2,1.2,1.1,2019-08-02,03:05,T,40,6.0NRT,306.1,22.8,D
30.191,116.098,324.4,1,1,2019-08-02,03:05,T,24,6.0NRT,302.9,10.6,D
29.837,118.311,322.8,1.2,1.1,2019-08-02,03:05,T,39,6.0NRT,302.8,12.4,D
29.825,118.321,323.2,1.2,1.1,2019-08-02,03:05,T,26,6.0NRT,301.9,11.3,D
29.853,117.715,317.4,1.1,1.1,2019-08-02,03:05,T,52,6.0NRT,302.7,8.7,D
29.776,118.179,317.8,1.2,1.1,2019-08-02,03:05,T,66,6.0NRT,301.7,10.7,D
29.726,118.242,324.1,1.2,1.1,2019-08-02,03:05,T,63,6.0NRT,303.4,14,D
30.015,115.733,317.2,1,1,2019-08-02,03:05,T,41,6.0NRT,297.7,7,D
